Project,URL,Language,Created since (months),Updated since (months),Contributors,Orgs for Top15 contributors,Commit freq/week (last yr),Releases (last yr),Closed issues (last 90d),Updated issues (last 90d),Comment freq/issue (last 90d),Commit mentions,Criticality Score
transmission,https://github.com/transmission/transmission,C,67,0,87,2,2.7,1,91,222,1.2,2061,0.55461
osv,https://github.com/cloudius-systems/osv,C,96,0,132,2,5.5,1,9,25,2.2,736,0.55161
AdAway,https://github.com/AdAway/AdAway,C,102,0,39,2,17.9,18,167,209,0.5,143,0.55074
SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,C,84,0,96,2,3.7,3,49,90,1.5,528,0.54985
darling,https://github.com/darlinghq/darling,C,97,1,54,4,9.7,5,14,45,2.5,180,0.54899
rofi,https://github.com/davatorium/rofi,C,95,0,111,3,3.6,1,1057,1072,1.2,46,0.54747
clib,https://github.com/clibs/clib,C,98,1,38,8,1.5,13,21,26,2.0,107,0.54211
oni2,https://github.com/onivim/oni2,C,23,0,76,9,20.5,0,341,497,1.2,28,0.5402
poco,https://github.com/pocoproject/poco,C,98,9,144,5,5.3,2,17,85,1.0,1208,0.53998
C,https://github.com/TheAlgorithms/C,C,53,0,161,7,11.2,0,81,255,0.8,33,0.53992
ossec-hids,https://github.com/ossec/ossec-hids,C,87,1,176,4,1.1,1,27,51,1.0,822,0.53987
hackrf,https://github.com/mossmann/hackrf,C,106,1,53,4,0.8,1,18,46,2.3,1497,0.53786
bjoern,https://github.com/jonashaag/bjoern,C,130,0,39,6,0.2,3,4,9,3.4,338,0.53722
ZipArchive,https://github.com/ZipArchive/ZipArchive,C,125,2,102,10,0.2,1,9,17,1.8,362,0.5371
mgba,https://github.com/mgba-emu/mgba,C,72,0,88,1,11.5,5,69,123,2.7,82,0.53563
tidy-html5,https://github.com/htacg/tidy-html5,C,110,2,78,8,0.5,1,37,68,2.2,204,0.53553
jansson,https://github.com/akheron/jansson,C,141,0,93,6,0.3,3,7,14,1.5,203,0.53514
dunst,https://github.com/dunst-project/dunst,C,112,0,93,4,2.3,1,24,37,2.3,90,0.53204
jq,https://github.com/stedolan/jq,C,101,8,136,7,0.3,1,28,84,1.9,722,0.53149
mongoose-os,https://github.com/cesanta/mongoose-os,C,78,0,38,4,2.1,1,12,17,5.1,224,0.53052
Provenance,https://github.com/Provenance-Emu/Provenance,C,88,1,78,9,2.4,3,34,54,0.9,78,0.53018
libimobiledevice,https://github.com/libimobiledevice/libimobiledevice,C,94,2,56,7,2.2,1,25,84,3.7,88,0.52999
ttyd,https://github.com/tsl0922/ttyd,C,51,0,33,5,4.3,2,80,100,0.6,702,0.52997
tengine,https://github.com/alibaba/tengine,C,105,0,102,7,0.2,4,7,32,1.2,90,0.52914
bspwm,https://github.com/baskerville/bspwm,C,101,1,54,6,0.9,3,38,84,2.0,136,0.52912
h3,https://github.com/uber/h3,C,35,0,41,8,2.9,5,27,41,2.0,78,0.52791
openresty,https://github.com/openresty/openresty,C,132,0,21,8,1.8,4,34,49,1.1,123,0.52658
tmk_keyboard,https://github.com/tmk/tmk_keyboard,C,122,0,66,2,2.3,0,7,11,1.5,3726,0.52589
mongoose,https://github.com/cesanta/mongoose,C,101,1,118,4,0.7,2,13,32,0.7,1055,0.52581
miller,https://github.com/johnkerl/miller,C,68,0,28,2,14.6,4,14,53,3.4,147,0.52502
seafile,https://github.com/haiwen/seafile,C,102,0,83,3,0.8,1,185,221,0.5,388,0.52403
contiki,https://github.com/contiki-os/contiki,C,98,25,229,10,0.0,2,4,16,1.0,2969,0.52376
n2n,https://github.com/ntop/n2n,C,50,0,41,4,7.6,2,130,161,2.7,33,0.52247
http-parser,https://github.com/nodejs/http-parser,C,141,2,102,10,0.3,2,3,7,0.4,987,0.52231
WSL2-Linux-Kernel,https://github.com/microsoft/WSL2-Linux-Kernel,C,18,12,5000,10,0.0,2092,19,69,2.3,0,0.52177
the_silver_searcher,https://github.com/ggreer/the_silver_searcher,C,110,5,245,5,0.3,5,10,32,0.6,502,0.52021
jerryscript,https://github.com/jerryscript-project/jerryscript,C,69,0,104,2,12.3,2,188,226,0.8,52,0.52016
AppImageKit,https://github.com/AppImage/AppImageKit,C,92,4,43,6,0.2,1,9,31,8.2,222,0.51815
u8g2,https://github.com/olikraus/u8g2,C,61,1,33,7,2.0,0,48,98,3.9,135,0.51652
io,https://github.com/IoLanguage/io,C,155,1,198,8,0.1,1,6,11,4.5,11,0.51616
xLua,https://github.com/Tencent/xLua,C,48,0,45,3,1.1,1,25,54,2.4,774,0.51565
naxsi,https://github.com/nbs-system/naxsi,C,113,0,54,3,0.6,5,31,43,2.6,69,0.51549
ijkplayer,https://github.com/bilibili/ijkplayer,C,91,0,63,4,0.4,10,32,135,1.0,61,0.5148
ESP8266_RTOS_SDK,https://github.com/espressif/ESP8266_RTOS_SDK,C,72,0,36,2,4.5,5,16,75,1.0,606,0.51371
mozjpeg,https://github.com/mozilla/mozjpeg,C,83,2,69,5,0.6,3,11,22,1.9,456,0.51358
TIC-80,https://github.com/nesbox/TIC-80,C,47,0,55,5,6.6,1,243,300,1.5,22,0.51346
kbengine,https://github.com/kbengine/kbengine,C,82,0,36,3,0.9,3,10,12,0.8,2594,0.51202
proxmark3,https://github.com/Proxmark/proxmark3,C,81,4,116,6,0.6,2,7,12,0.8,1452,0.51084
rufus,https://github.com/pbatard/rufus,C,110,0,152,2,2.7,5,53,58,2.2,10,0.51072
processhacker,https://github.com/processhacker/processhacker,C,58,0,32,3,14.3,1,85,107,2.4,54,0.51034
wren,https://github.com/wren-lang/wren,C,85,1,102,8,1.1,1,16,52,5.4,4,0.50772
ish,https://github.com/ish-app/ish,C,43,0,40,7,7.6,16,181,283,2.0,0,0.50622
lwan,https://github.com/lpereira/lwan,C,107,0,44,5,6.1,1,7,9,4.1,18,0.50587
